EIA_ID,plant,state,gauge_id,gauge_source,data_type,data_type_id,timestep,units,notes,update_flag
6159,Crystal,CO,4312,RISE,outflow-total,,D,cfs,NA,1
6402,Elephant Butte,NM,4377,RISE,outflow-total,,D,cfs,NA,1
6409,Alcova,WY,116,RISE,outflow-total,,D,cfs,NA,1
7189,Whiskeytown,CA,10825,RISE,outflow-total,,D,cfs,NA,1
7372,McPhee,CO,4342,RISE,outflow-total,,D,cfs,NA,1
7548,Causey,UT,4328,RISE,outflow-total,,D,cfs,NA,1
7593,El Vado Dam,NM,4502,RISE,outflow-total,,D,cfs,NA,1
50206,Vallecito,CO,4323,RISE,outflow-total,,D,cfs,NA,1
50393,Friant Hydro Facility,CA,10806,RISE,outflow-total,,D,cfs,assumes power generation from river outlet works,1
58901,Ridgway,CO,4837,RISE,outflow-total,,D,cfs,NA,1
60119,Granby Dam,CO,386,RISE,outflow-total,,D,cfs,NA,1
61853,Jordanelle,UT,4347,RISE,outflow-total,,D,cfs,NA,1
64123,Pueblo Dam,CO,684,RISE,outflow-total,,D,cfs,NA,1
441,Folsom,CA,10779,RISE,outflow-power,,D,cfs,NA,1
444,Nimbus,CA,10823,RISE,outflow-power,,D,cfs,NA,1
445,Shasta,CA,10866,RISE,outflow-power,,D,cfs,NA,1
451,Trinity,CA,10856,RISE,outflow-power,,D,cfs,NA,1
512,Blue Mesa,CO,4302,RISE,outflow-power,,D,cfs,NA,1
514,Morrow Point,CO,4303,RISE,outflow-power,,D,cfs,NA,1
977,Lewiston,CA,10801,RISE,outflow-power,,D,cfs,NA,1
6159,Crystal,CO,4304,RISE,outflow-power,,D,cfs,NA,1
61853,Jordanelle,UT,4542,RISE,outflow-power,,D,cfs,NA,1
6202,Ross,WA,41,RO,outflow-total,,D,cfs,NA,1
6432,Diablo,WA,42,RO,outflow-total,,D,cfs,NA,1
145,Horse Mesa,AZ,9502000;60;3,USGS,outflow-aggregate,,D,cfs,better than original; contacted SRP for release data,1
148,Mormon Flat,AZ,9502000;60;3,USGS,outflow-aggregate,,D,cfs,better than original; contacted SRP for release data,1
149,Roosevelt,AZ,9502000;60;3,USGS,outflow-aggregate,,D,cfs,better than original; contacted SRP for release data,1
239,Electra,CA,11319500;60;3,USGS,outflow-aggregate,,D,cfs,combined river flow and pp flow 5km downstream,1
