EIA_ID,plant,state,USGS_ID,USGS_ID_turbinerelease,USGS_ID_totalrelease,USGS_ID_update,notes,alt_ID_turbinerelease,alt_source_turbinerelease,alt_ID_totalrelease,alt_source_totalrelease,update_flag
295,Copco 2,CA,11530500,,,11516530,gauge below Iron Gate (reregulating) so some influence of storage,,,,,1
410,McSwain,CA,11303500,,11270900,,gauge downsteam of Merced Falls,,,,,1
3014,Oxbow,OR,13269000,,13290450,,gauge downstream of Hells Canyon,,,,,1
822,Upper Salmon A,ID,13154500,,13135000,,gauge downstream of Lower Salmon,,,,,1
9842,Newhalem,WA,NA,,,12178100,gauge may be below diversion,,,,,1
415,Donnells,CA,11303500,,11292700,,gauge may be just above pp (supplied by conduit),,,,,1
4176,Fremont Canyon,WY,6674500,,,,Pathfinder total release,,,647,RISE,1
823,Upper Malad,ID,NA,,13153500,,gauge missing diversion to Lower Malad,,,,,1
436,Devil Canyon,CA,11078000,11063682,,,gauge on CA Aqueduct but I think representative of pp flow,,,,,1
54729,Taylor Draw Hydroelectric Facility,CO,9306500,,,9306500,gauge quite downstream,,,,,1
4229,Fish Power,CA,11425500,,11413517;11413520,,gauge replaced 2004,,,,,1
987,Last Chance,ID,NA,,10079500,,gauge upstream 5km,,,,,1
10081,Strontia Springs Hydro Plant,CO,6764880,,,,unclear if turbine discharges water into conduit or river,,,PLASTRCO,CDSS,1
3025,East Side,OR,11530500,,11507500,,gauge upstream of diversion return,,,,,1
3042,West Side,OR,11530500,,11507500,,gauge upstream of diversion return,,,,,1
6359,Felt,ID,NA,,13052200,,gauge upstream of pp,,,,,1
6506,Moyie Springs,ID,12433000,,12306500,,gauge upstream of pp,,,,,1
3656,Pioneer,UT,10172630,,,10140100,gauge upstream of pp,,,,,1
3634,Gunlock,UT,9402300,,9409880,,includes Santa Clara River flows,,,,,1
7179,Headgate Rock,AZ,9404200,,9428500,,inflow,,,,,1
832,St Anthony,ID,13154500,,13050500,,inflow upstream of pp,,,,,1
57551,Garland Canal,WY,NA,,,,upstream of pp,,,BBR;QJ,MBH,1
