eia_id,huc4
3418,0601
3421,0601
3397,0601
50890,0601
10181,0601
2710,0601
2715,0601
3400,0601
3402,0601
2747,0601
6438,0601
2745,0601
2779,0601
2749,0601
2750,0601
2751,0601
2741,0601
2743,0601
2742,0601
54898,0601
54900,0601
54899,0601
54901,0601
3411,0601
3408,0601
3420,0602
3398,0602
2691,0202
3409,0603
2778,0602
2746,0602
758,0602
3394,0602
6522,0204
757,0602
3413,0602
3414,0602
3412,0602
48,0603
49,0603
3417,0603
6440,0603
3415,0603
1377,0604
1938,0701
378,0701
10686,0701
50636,0701
1896,0701
1898,0701
1900,0701
1892,0701
50252,0701
57069,0701
1911,0701
57665,0701
54285,0701
1977,0702
2009,0702
52054,0702
3976,0703
4019,0703
4017,0703
4018,0703
3985,0703
4012,0703
6231,0703
4010,0703
4011,0703
347,0703
4134,0703
4133,0703
50328,0704
2007,0704
4128,0704
4006,0704
4104,0704
1987,0704
3997,0705
10453,0705
3995,0705
50620,0705
55685,0705
55684,0705
3983,0705
4142,0705
3986,0705
3988,0705
4007,0705
6086,0705
4008,0705
4015,0705
4000,0705
4002,0705
4102,0705
3998,0705
4009,0705
1067,0706
4069,0707
50933,0707
4064,0707
54568,0707
4075,0707
50476,0707
4066,0707
4063,0707
4060,0707
4068,0707
4077,0707
50190,0707
50614,0707
3972,0707
3973,0707
3975,0707
3971,0707
3974,0707
54103,0707
50395,0707
4080,0707
4079,0707
4053,0707
4056,0707
4129,0707
899,0708
1053,0708
1109,0708
1196,0708
1065,0708
4136,0709
4052,0709
7810,0709
903,0709
54969,0709
7474,0709
56978,0709
1173,0710
3164,0205
54525,0712
10903,0712
10520,0712
955,0713
7246,0802
197,0804
166,0804
174,0804
6167,0208
195,0804
54678,0804
1943,0902
6540,0902
1949,0902
1947,0902
1941,0902
2014,0902
1902,0903
10487,0903
6422,1002
57690,1003
2191,1003
2194,1003
2182,1003
2193,1003
2181,1003
2186,1003
2185,1003
54006,1003
56499,1003
6623,1004
2192,1007
10138,1007
58120,1007
505,1008
7317,1008
4183,1008
6408,1008
7541,1008
674,1008
2204,1008
57551,1008
58438,1012
2815,1011
3375,1014
3356,1013
3373,1014
6624,1017
6409,1018
4176,1018
4177,1018
4178,1018
4180,1018
4182,1018
785,1018
6126,0305
513,1019
519,1019
517,1401
515,1019
58622,1019
466,1019
2274,1019
10424,1019
472,1019
7125,0306
7468,1019
10423,1401
10070,1019
54680,1019
10081,1019
54679,1019
509,1019
54142,1019
55931,1019
476,1401
2229,1020
2228,1020
2227,1020
2268,1020
2260,1020
2273,1021
2303,1021
10279,1027
3262,0306
2124,1029
2106,1029
2099,1029
182,1101
198,1101
188,1101
196,1101
2166,1101
6280,1101
6189,0315
57160,1101
57162,1101
57161,1101
1713,0406
50435,1102
495,1102
494,1102
474,1102
475,1102
7233,1102
2984,1111
7545,1106
3003,1107
2981,1107
2980,1107
2692,0427
6419,1109
2985,1111
3004,1111
2987,1111
54283,1111
199,1111
6142,1111
7040,1111
7135,1111
7166,1111
6416,1113
6415,1114
6595,1201
7200,1202
6413,1202
794,1203
61355,1203
6414,1206
3594,1209
3595,1209
3597,1209
3598,1209
3599,1209
3600,1209
791,1210
7394,1210
3581,1210
3582,1210
3583,1210
3584,1210
3585,1210
3586,1210
3616,1210
7593,1302
7789,1302
6402,1302
3437,1308
6128,1304
6410,1308
516,1401
521,1401
520,1401
7458,1401
60119,1401
10422,1401
10421,1401
7796,1401
473,1401
512,1402
6159,1402
514,1402
58783,1402
58784,1402
58901,1402
61189,1402
50267,1402
61190,1402
61191,1402
7372,1403
7373,1408
6207,1403
6405,1404
4185,1404
7050,1404
54729,1405
3704,1406
3705,1406
153,1407
3699,1407
7590,1407
50206,1408
584,1408
6206,1408
2465,1408
52039,1501
7069,1501
3635,1501
3636,1501
3634,1501
7362,1501
152,1503
154,1501
8902,1501
447,1503
585,1810
385,1810
386,1810
387,1810
57364,1503
8225,0501
7179,1503
6151,0602
467,1019
143,1506
100,1506
149,1506
150,1506
6141,1029
831,1601
827,1601
829,1601
830,1601
3674,1601
3646,1601
7034,1601
3675,1601
987,1601
7150,1601
845,1601
10325,1601
3666,1601
7548,1602
3698,1602
3697,1602
4263,1602
7132,1602
3656,1602
3661,1602
6404,1602
3691,1602
3692,1602
61853,1602
3659,1602
3690,1602
3673,1602
3658,1602
3688,1602
3689,1602
7027,1602
7435,1602
6537,1602
159,1602
7434,1602
7016,1603
3651,1602
3679,1603
3643,1603
3685,1603
3680,1603
6536,1603
6538,1603
925,1603
2108,1101
1020,1603
3676,1603
7586,1603
7787,1603
3682,1603
7015,1603
3681,1603
3664,1603
3668,1603
2346,1604
7066,1605
6513,1605
6531,1605
6532,1605
50261,1605
6521,1605
6172,1701
6506,1701
